mail_id,question,answer,inquiry_type
539,"お問い合わせ
アカウントID : 

プレイヤー名 : 
アプリバージョン : 
ご利用のOSバージョン : 
ご利用端末名 : iPhone
お問い合わせ内容の種類 : アイテム購入時に問題が発生した
ご利用環境 : iOS
問題が発生した日時 : 2024-03-02 12:13
メールアドレス : 
お問い合わせ内容 ：ヘルシーフード大作戦にて
上級栄養士になるを課金したところ解放されてなかった為3回ほど購入してしまいました。
12時13分
12時15分
12時30分
確認お願いします。
2回分をキャンセル出来ますでしょうか？
添付ファイル ：","いつもご利用いただきありがとうございます。
『ぽちゃガチョ！』サポート担当です。

お客様にご迷惑をおかけし、誠に申し訳ございません。 

お問い合わせいただきました件につきましては、【3/2（土）11:00 ～ 14:00】頃にApp Storeの障害が原因で有償アイテム購入時にエラーメッセージが表示され、アイテムが購入できない、または購入したアイテムが反映されない不具合が発生しておりました。

現在、該当の現象は解消され、正常にご購入いただけます。

また、反映されていなかったアイテムについては、すでにお客様のアカウントに付与されておりますが、反映されていない場合は一度アプリを終了のうえ、再起動させることで反映されます。

重ねてのご案内となりますが、このたびはご迷惑をおかけして大変申し訳ございませんでした。

今後とも『ぽちゃガチョ！』をよろしくお願いいたします。 

※本メール内容の無断掲載、無断複製、転送はお控えください。",アイテム購入時に問題が発生した
198,"お問い合わせ
アカウントID : 


アプリバージョン : 
ご利用のOSバージョン : 
ご利用端末名 : 
お問い合わせ内容の種類 : 不具合について
ご利用環境 : iOS
問題が発生した日時 : 2024-02-27 20:30
メールアドレス : 
お問い合わせ内容 ：工具箱を100回ほどタップしましたが軍手がひとつも出ません
添付ファイル ：","いつもご利用いただきありがとうございます。
『ぽちゃガチョ！』サポート担当です。
 
この度はお問い合わせのご面倒をおかけし、申し訳ございません。
 
お問い合わせいただきました件につきまして、ピースの出現は完全ランダムであり、場合によってはご希望のピースの産出までにお時間がかかる場合もございます。
 
しかしながら、お客様からいただいたお声は貴重なご意見として運営?開発チームに報告し、今後の改善の参考にさせていただきます。
 
本件以外にもお困りごとやお気づきの点がございましたら、お気軽にお問い合わせください。
 
今後とも『ぽちゃガチョ！』をよろしくお願いいたします。
※本メール内容の無断掲載、無断複製、転送はお控えください。

> アカウントID :


> アプリバージョン :
> ご利用のOSバージョン :
> ご利用端末名 :
> お問い合わせ内容の種類 : 不具合について
> ご利用環境 : iOS
> 問題が発生した日時 : 2024-02-27 20:30
> メールアドレス : 
> お問い合わせ内容 ：工具箱を100回ほどタップしましたが軍手がひとつも出ません
> 添付ファイル ：
> 
>",不具合について
1098,"お問い合わせ
アカウントID : 


アプリバージョン : 
ご利用のOSバージョン : 
ご利用端末名 : 
お問い合わせ内容の種類 : ご意見?ご要望
ご利用環境 : Google Play
問題が発生した日時 :  00:00
メールアドレス : 
お問い合わせ内容 ：おそらく不具合です。
宣伝チラシなとが売れません。
宣伝系が売れないので永遠と増えて困ります。
改善ください。
添付ファイル ：","いつもご利用いただきありがとうございます。
『ぽちゃガチョ！』サポート担当です。

この度はお問い合わせのご面倒をおかけし、誠に申し訳ございません。
 
お問い合わせいただきました件について確認を行いたいため、「売却が行えないアイテム」のスクリーンショットをお送りいただけないでしょうか。
 
お客様にお手数をおかけいたしますが、何卒よろしくお願い申し上げます。

今後とも『ぽちゃガチョ！』をよろしくお願いいたします。

※本メール内容の無断掲載、無断複製、転送はお控えください。
 

> アカウントID :


> アプリバージョン :
> ご利用のOSバージョン :
> ご利用端末名 :
> お問い合わせ内容の種類 : ご意見?ご要望
> ご利用環境 : Google Play
> 問題が発生した日時 : 00:00
> メールアドレス : 
> お問い合わせ内容 ：おそらく不具合です。 宣伝チラシなとが売れません。 宣伝系が売れないので永遠と増えて困ります。 改善ください。
> 添付ファイル ：
> 
>

ご担当者様

売却できないアイテムの写真をお送りします。

※そのアイテムを選択してる画面キャプチャです。


この関連が一切売却できません。

ご対応お願い致します。




2024年3月5日(火) 11:08 【ぽちゃガチョ！カスタマーサポート】 <>:

> いつもご利用いただきありがとうございます。
> 『ぽちゃガチョ！』サポート担当です。
>
> この度はお問い合わせのご面倒をおかけし、誠に申し訳ございません。
>
>
>
> お問い合わせいただきました件について確認を行いたいため、「売却が行えないアイテム」のスクリーンショットをお送りいただけないでしょうか。
>
>
>
> お客様にお手数をおかけいたしますが、何卒よろしくお願い申し上げます。
>
> 今後とも『ぽちゃガチョ！』をよろしくお願いいたします。
>
> ※本メール内容の無断掲載、無断複製、転送はお控えください。
>
>
>
> アカウントID :


>
> プレイヤー名 :

> アプリバージョン :
>
> ご利用のOSバージョン :
>
> ご利用端末名 :
>
> お問い合わせ内容の種類 : ご意見?ご要望
>
> ご利用環境 : Google Play
>
> 問題が発生した日時 : 00:00
>
> メールアドレス : 
>
> お問い合わせ内容 ：おそらく不具合です。 宣伝チラシなとが売れません。 宣伝系が売れないので永遠と増えて困ります。 改善ください。
>
> 添付ファイル ：
>
>

いつもご利用いただきありがとうございます。
『ぽちゃガチョ！』サポート担当です。
 
お問い合わせの件につきまして、ゲームデータが正常にダウンロードされていないために発生している場合がご
ざいます。
 
ホーム画面右上の歯車のアイコン＞「マイページ」よりバインド（データ連携）が行われていることを確認したうえで、一度アプリの再インストールしていただき改善されるかお試しいただきたく存じます。
 
※バインド（データ連携）が行われていない場合、正常にデータの復旧が行えません。そのため、必ず現在バインドされているのか、バインドをどのアカウント?メールアドレスで行っているのかご確認ください。
 
再インストール後は、ゲームを起動し、連携完了しているログイン方法にて復旧してくださいますようお願い申し上げます。
 
なお、上記お試しいただいたうえで、問題が解決しない場合、ご連絡の現象について調査を行ってまいりますので、お手数ですが再度お問い合わせいただけますと幸いです。

今後とも『ぽちゃガチョ！』をよろしくお願いいたします。

※本メール内容の無断掲載、無断複製、転送はお控えください。
 

> ご担当者様 
> 売却できないアイテムの写真をお送りします。
> ※そのアイテムを選択してる画面キャプチャです。
>  
> この関連が一切売却できません。
> ご対応お願い致します。
>  
>  
> 
> 
>  2024年3月5日(火) 11:08 【ぽちゃガチョ！カスタマーサポート】 :
>> いつもご利用いただきありがとうございます。
>> 『ぽちゃガチョ！』サポート担当です。
>> 
>> この度はお問い合わせのご面倒をおかけし、誠に申し訳ございません。
>>  
>> お問い合わせいただきました件について確認を行いたいため、「売却が行えないアイテム」のスクリーンショットをお送りいただけないでしょうか。
>>  
>> お客様にお手数をおかけいたしますが、何卒よろしくお願い申し上げます。
>> 
>> 今後とも『ぽちゃガチョ！』をよろしくお願いいたします。
>> 
>> ※本メール内容の無断掲載、無断複製、転送はお控えください。
>>  
>> 
>>> アカウントID :


>>> アプリバージョン :
>>> ご利用のOSバージョン :
>>> ご利用端末名 :
>>> お問い合わせ内容の種類 : ご意見?ご要望
>>> ご利用環境 : Google Play
>>> 問題が発生した日時 : 00:00
>>> メールアドレス : 
>>> お問い合わせ内容 ：おそらく不具合です。 宣伝チラシなとが売れません。 宣伝系が売れないので永遠と増えて困ります。 改善ください。
>>> 添付ファイル ：
>>> 
>>> 
>> 
>> 
>> 
> 
> 
> 
>

ご担当者様

遅くなりましたが、アンインストールして、インストールしましたが改善されません。

また、本日、ヘルシーフード大作戦のシリアルが、ジューサーに入れられない不具合が急に発生しました。
以前はいれられていましたが、、、

イベントの期日が迫っているので、大変困ります。。

※端末はPixel7aです。

福田


2024年3月5日(火) 13:26 【ぽちゃガチョ！カスタマーサポート】 <>:

> いつもご利用いただきありがとうございます。
> 『ぽちゃガチョ！』サポート担当です。
>
> お問い合わせの件につきまして、ゲームデータが正常にダウンロードされていないために発生している場合がご
> ざいます。
>
> ホーム画面右上の歯車のアイコン＞「マイページ」よりバインド（データ連携）が行われていることを確認したうえで、一度アプリの再インストールしていただき改善されるかお試しいただきたく存じます。
>
> ※バインド（データ連携）が行われていない場合、正常にデータの復旧が行えません。そのため、必ず現在バインドされているのか、バインドをどのアカウント?メールアドレスで行っているのかご確認ください。
>
> 再インストール後は、ゲームを起動し、連携完了しているログイン方法にて復旧してくださいますようお願い申し上げます。
>
> なお、上記お試しいただいたうえで、問題が解決しない場合、ご連絡の現象について調査を行ってまいりますので、お手数ですが再度お問い合わせいただけますと幸いです。
>
> 今後とも『ぽちゃガチョ！』をよろしくお願いいたします。
>
> ※本メール内容の無断掲載、無断複製、転送はお控えください。
>
>
>
> ご担当者様
>
>
> 売却できないアイテムの写真をお送りします。
>
> ※そのアイテムを選択してる画面キャプチャです。
>
>
>
> この関連が一切売却できません。
>
> ご対応お願い致します。
>
>
>
>
>
> 2024年3月5日(火) 11:08 【ぽちゃガチョ！カスタマーサポート】 <>:
>
>> いつもご利用いただきありがとうございます。
>> 『ぽちゃガチョ！』サポート担当です。
>>
>> この度はお問い合わせのご面倒をおかけし、誠に申し訳ございません。
>>
>>
>>
>> お問い合わせいただきました件について確認を行いたいため、「売却が行えないアイテム」のスクリーンショットをお送りいただけないでしょうか。
>>
>>
>>
>> お客様にお手数をおかけいたしますが、何卒よろしくお願い申し上げます。
>>
>> 今後とも『ぽちゃガチョ！』をよろしくお願いいたします。
>>
>> ※本メール内容の無断掲載、無断複製、転送はお控えください。
>>
>>
>>
>> アカウントID :


>>
>> プレイヤー名 :

>> アプリバージョン :
>>
>> ご利用のOSバージョン :
>>
>> ご利用端末名 :
>>
>> お問い合わせ内容の種類 : ご意見?ご要望
>>
>> ご利用環境 : Google Play
>>
>> 問題が発生した日時 : 00:00
>>
>> メールアドレス : 
>>
>> お問い合わせ内容 ：おそらく不具合です。 宣伝チラシなとが売れません。 宣伝系が売れないので永遠と増えて困ります。 改善ください。
>>
>> 添付ファイル ：
>>
>>

いつもご利用いただきありがとうございます。
『ぽちゃガチョ！』サポート担当です。

ご案内までにお時間を頂戴し、またイベント終了後のご案内となってしまい、誠に申し訳ございません。
 
お問い合わせいただきました「シリアルをジューサーに入れられない」件について確認を行ったところ、「シリアル」は「ジューサー」に入れられない仕組みでございました。
 
重ねてとはなりますが、ご案内までにお時間を頂戴し、誠に申し訳ございません。
 
その他にもお困りごとやお気づきの点がございましたら、お気軽にお問い合わせください。

今後とも『ぽちゃガチョ！』をよろしくお願いいたします。

※本メール内容の無断掲載、無断複製、転送はお控えください。
 
 
> ご担当者様
>  
> 遅くなりましたが、アンインストールして、インストールしましたが改善されません。
>  
> また、本日、ヘルシーフード大作戦のシリアルが、ジューサーに入れられない不具合が急に発生しました。
> 以前はいれられていましたが、、、
>  
> イベントの期日が迫っているので、大変困ります。。 
> ※端末はPixel7aです。
>  
> 福田
>  
> 
>  2024年3月5日(火) 13:26 【ぽちゃガチョ！カスタマーサポート】 :
>> いつもご利用いただきありがとうございます。
>> 『ぽちゃガチョ！』サポート担当です。
>>  
>> お問い合わせの件につきまして、ゲームデータが正常にダウンロードされていないために発生している場合がご
>> ざいます。
>>  
>> ホーム画面右上の歯車のアイコン＞「マイページ」よりバインド（データ連携）が行われていることを確認したうえで、一度アプリの再インストールしていただき改善されるかお試しいただきたく存じます。
>>  
>> ※バインド（データ連携）が行われていない場合、正常にデータの復旧が行えません。そのため、必ず現在バインドされているのか、バインドをどのアカウント?メールアドレスで行っているのかご確認ください。
>>  
>> 再インストール後は、ゲームを起動し、連携完了しているログイン方法にて復旧してくださいますようお願い申し上げます。
>>  
>> なお、上記お試しいただいたうえで、問題が解決しない場合、ご連絡の現象について調査を行ってまいりますので、お手数ですが再度お問い合わせいただけますと幸いです。
>> 
>> 今後とも『ぽちゃガチョ！』をよろしくお願いいたします。
>> 
>> ※本メール内容の無断掲載、無断複製、転送はお控えください。
>>  
>> 
>>> ご担当者様 
>>> 売却できないアイテムの写真をお送りします。
>>> ※そのアイテムを選択してる画面キャプチャです。
>>>  
>>> この関連が一切売却できません。
>>> ご対応お願い致します。
>>>  
>>>  
>>> 
>>> 
>>> 2024年3月5日(火) 11:08 【ぽちゃガチョ！カスタマーサポート】 :
>>>> いつもご利用いただきありがとうございます。
>>>> 『ぽちゃガチョ！』サポート担当です。
>>>> 
>>>> この度はお問い合わせのご面倒をおかけし、誠に申し訳ございません。
>>>>  
>>>> お問い合わせいただきました件について確認を行いたいため、「売却が行えないアイテム」のスクリーンショットをお送りいただけないでしょうか。
>>>>  
>>>> お客様にお手数をおかけいたしますが、何卒よろしくお願い申し上げます。
>>>> 
>>>> 今後とも『ぽちゃガチョ！』をよろしくお願いいたします。
>>>> 
>>>> ※本メール内容の無断掲載、無断複製、転送はお控えください。
>>>>  
>>>> 
>>>>> アカウントID :


>>>>> アプリバージョン :
>>>>> ご利用のOSバージョン :
>>>>> ご利用端末名 :
>>>>> お問い合わせ内容の種類 : ご意見?ご要望
>>>>> ご利用環境 : Google Play
>>>>> 問題が発生した日時 : 00:00
>>>>> メールアドレス : 
>>>>> お問い合わせ内容 ：おそらく不具合です。 宣伝チラシなとが売れません。 宣伝系が売れないので永遠と増えて困ります。 改善ください。
>>>>> 添付ファイル ：
>>>>> 
>>>>> 
>>>> 
>>>> 
>>>> 
>>> 
>>> 
>>> 
>>> 
>> 
>> 
>> 
> 
> 
> 
> 
>",ご意見?ご要望
208,"お問い合わせ
アカウントID : 

プレイヤー名 : 
アプリバージョン : 
ご利用のOSバージョン : 
ご利用端末名 : 
お問い合わせ内容の種類 : データの引き継ぎについて
ご利用環境 : Google Play
問題が発生した日時 : 2024-02-27 00:00
メールアドレス : 
お問い合わせ内容 ：
添付ファイル ：","いつもご利用いただきありがとうございます。
『ぽちゃガチョ！』サポート担当です。

アカウントの連携は、ホーム画面右上の「歯車のアイコン」→「マイページ」→「バインド」から行うことが可能です。

バインド出来るサービスはメールアドレス?Google（Androidのみ）?AppleID（iOSのみ）がございます。

各連携方法は公式サイトFAQの「アカウント連携」に記載しておりますので、ご確認いただけますと幸いです。

 
またお困りのことがありましたらお気軽にお問い合わせくださいませ。

今後とも『ぽちゃガチョ！』を何卒よろしくお願いいたします。
> アカウントID : 

> プレイヤー名 : 
> アプリバージョン : 
> ご利用のOSバージョン : 
> ご利用端末名 :
> お問い合わせ内容の種類 : データの引き継ぎについて
> ご利用環境 : Google Play
> 問題が発生した日時 : 2024-02-27 00:00
> メールアドレス : 
> お問い合わせ内容 ：
> 添付ファイル ：
> 
>",データの引き継ぎについて
711,"お問い合わせ
アカウントID : 

プレイヤー名 : 
アプリバージョン : 1.1.1
ご利用のOSバージョン : iOS17.3.1
ご利用端末名 : iPhone14
お問い合わせ内容の種類 : アイテム購入時に問題が発生した
ご利用環境 : iOS
問題が発生した日時 : 2024-03-02 13:00
メールアドレス : 
お問い合わせ内容 ：支払いは完了したと表示されますが、アイテムが追加されません。
添付ファイルの表示がありました。
添付ファイル ：","いつもご利用いただきありがとうございます。
『ぽちゃガチョ！』サポート担当です。

お客様にご迷惑をおかけし、誠に申し訳ございません。 

お問い合わせいただきました件につきましては、【3/2（土）11:00 ～ 14:00】頃にApp Storeの障害が原因で有償アイテム購入時にエラーメッセージが表示され、アイテムが購入できない、または購入したアイテムが反映されない不具合が発生しておりました。

現在、該当の現象は解消され、正常にご購入いただけます。

また、反映されていなかったアイテムについては、すでにお客様のアカウントに付与されておりますが、反映されていない場合は一度アプリを終了のうえ、再起動させることで反映されます。

重ねてのご案内となりますが、このたびはご迷惑をおかけして大変申し訳ございませんでした。

今後とも『ぽちゃガチョ！』をよろしくお願いいたします。 

※本メール内容の無断掲載、無断複製、転送はお控えください。",アイテム購入時に問題が発生した
2348,"お問い合わせ
アカウントID : 

プレイヤー名 : 

ご利用のOSバージョン : Android10
ご利用端末名 : Lenovo　TB-8705-F
お問い合わせ内容の種類 : 不具合について
ご利用環境 : Google Play
問題が発生した日時 :  12:00
メールアドレス : 
お問い合わせ内容 ：いつからかは不明ですが最初はあったエネルギー選手権が私の所だけ来ません。一緒に遊んでる他の二人は毎日のように来ているそうですがその時間に参加していないのが問題なのかと今日は一緒に入ってみたのですがやはり私だけエネルギー選手権は出ませんでした。何か条件が足りないのでしょうか？
添付ファイル ：","いつもご利用いただきありがとうございます。
『ぽちゃガチョ！』サポート担当です。
 
ご連絡の件につきまして、仕様の詳細や今後の予定など、どのお客様にも公開していない情報は個別にご案内差し上げることができません。
 
誠に恐れ入りますが、ご理解くださいますようお願い申し上げます。
 
お客様皆様にご案内できる情報がございましたら、公式Ｘ（旧Twitter）やゲーム内でお知らせしてまいりますので、ご都合のよい時にご確認いただけますと幸いです。
 
今後とも『ぽちゃガチョ！』をよろしくお願いいたします。
 
※本メール内容の無断掲載、無断複製、転送はお控えください。

> アカウントID : 

> プレイヤー名 :

> ご利用のOSバージョン : Android10
> ご利用端末名 : Lenovo　TB-8705-F
> お問い合わせ内容の種類 : 不具合について
> ご利用環境 : Google Play
> 問題が発生した日時 : 12:00
> メールアドレス : 
> お問い合わせ内容 ：いつからかは不明ですが最初はあったエネルギー選手権が私の所だけ来ません。一緒に遊んでる他の二人は毎日のように来ているそうですがその時間に参加していないのが問題なのかと今日は一緒に入ってみたのですがやはり私だけエネルギー選手権は出ませんでした。何か条件が足りないのでしょうか？
> 添付ファイル ：
> 
>",不具合について
2731,"お問い合わせ
アカウントID : 

プレイヤー名 : 
アプリバージョン : 
ご利用のOSバージョン : 
ご利用端末名 : 
お問い合わせ内容の種類 : ご意見?ご要望
ご利用環境 : iOS
問題が発生した日時 :  00:00
メールアドレス : 
お問い合わせ内容 ：宣伝手段、広告チラシなどは売却できませんか？
添付ファイル ：","いつもご利用いただきありがとうございます。
『ぽちゃガチョ！』サポート担当です。
 
この度はごお問い合わせのご面倒をおかけし、誠に申し訳ございません。
 
お問い合わせいただいております件につきまして、一部のランチャー（ピースを生み出すピース）は一定のジムレベルに到達するまで売却ができない仕組みとなっております。
 
ゲーム内の仕組みがわかりづらく、お客様に混乱をお招きしてしまい、申し訳ございません。
 
また、そのレベルに達するまでは、「リュック」をご活用いただくことで、一時的にボード上からアイテムを除
外することができますので、お試しいただけますと幸いです。
 
その他にもお困りごとやお気づきの点がございましたら、お気軽にお問い合わせください。
 
今後とも『ぽちゃガチョ！』をよろしくお願いいたします。
 
※本メール内容の無断掲載、無断複製、転送はお控えください。

> アカウントID : 

> プレイヤー名 : 
> アプリバージョン :
> ご利用のOSバージョン :
> ご利用端末名 :
> お問い合わせ内容の種類 : ご意見?ご要望
> ご利用環境 : iOS
> 問題が発生した日時 : 00:00
> メールアドレス : 
> お問い合わせ内容 ：宣伝手段、広告チラシなどは売却できませんか？
> 添付ファイル ：
> 
>",ご意見?ご要望
1195,"お問い合わせ
アカウントID : 

プレイヤー名 : 
アプリバージョン : 1.1.1
ご利用のOSバージョン : iOS17.3.1
ご利用端末名 : iPhone12
お問い合わせ内容の種類 : アイテム購入時に問題が発生した
ご利用環境 : iOS
問題が発生した日時 : 2024-03-06 04:30
メールアドレス : 
お問い合わせ内容 ：スタミナ補充をダイヤを使って行ったが、表示されているオマケが反映されていない。+100に+10と書いてあるので、110回復するのでは？以前から増えて無いと思い報告します。
添付ファイル ：","いつもご利用いただきありがとうございます。
『ぽちゃガチョ！』サポート担当です。

お問い合わせの問題に対し、返答が遅れておりますこと、
そしてご迷惑をおかけしておりますことを深くお詫び申し上げます。

連絡いただいております現象につきましては、お客様からお寄せいただいた情報を元に、調査を行っております。

迅速な対応に努めてまいりますが、調査完了までお時間を頂戴する場合がございます。
調査完了後に当窓口よりあらためてお客様へご連絡差し上げますので、今しばらくお待ちくださいますようお願いたします。

お客様へご不便をおかけしておりますことを
重ねてお詫び申し上げます。

今後とも『ぽちゃガチョ！』をよろしくお願いいたします。

※本メール内容の無断掲載、無断複製、転送はお控えください。
2024/03/06 04:53:51 QCplay:






お問い合わせ
アカウントID : 

プレイヤー名 : 
アプリバージョン : 1.1.1
ご利用のOSバージョン : iOS17.3.1
ご利用端末名 : iPhone12
お問い合わせ内容の種類 : アイテム購入時に問題が発生した
ご利用環境 : iOS
問題が発生した日時 : 2024-03-06 04:30
メールアドレス : 
お問い合わせ内容 ：スタミナ補充をダイヤを使って行ったが、表示されているオマケが反映されていない。+100に+10と書いてあるので、110回復するのでは？以前から増えて無いと思い報告します。
添付ファイル ：

いつもご利用いただきありがとうございます。
『ぽちゃガチョ！』サポート担当です。

この度はご案内までにお時間を頂戴し、申し訳ございません。

お問い合わせいただきました件について、ご案内いたします。

売店にて購入できる「エネルギーがいっぱい」は、通常はエネルギーが「+100」されるものであり、「特典パス」を購入している場合に限り「+10」エネルギーを多くを受け取ることができる仕組みとなっております。

ゲーム内の記載がわかりづらく、大変申し訳ございません。

今回お客様からいただいた内容は、運営チーム内に共有を行い、ゲーム内表記の改善の参考にさせていただきます。

『ぽちゃガチョ！』をプレイいただいているお客様一人一人に寄り添っていけるようなサービスをお届けできるよう、これからもチーム一同尽力して参りますので、何卒よろしくお願い申し上げます。

今後とも『ぽちゃガチョ！』をよろしくお願いいたします。

※本メール内容の無断掲載、無断複製、転送はお控えください。
2024/03/06 04:53:51 QCplay:
> 
> 
> 
> 
> 
> 
> お問い合わせ
> アカウントID : 

> プレイヤー名 : 
> アプリバージョン : 1.1.1
> ご利用のOSバージョン : iOS17.3.1
> ご利用端末名 : iPhone12
> お問い合わせ内容の種類 : アイテム購入時に問題が発生した
> ご利用環境 : iOS
> 問題が発生した日時 : 2024-03-06 04:30
> メールアドレス : 
> お問い合わせ内容 ：スタミナ補充をダイヤを使って行ったが、表示されているオマケが反映されていない。+100に+10と書いてあるので、110回復するのでは？以前から増えて無いと思い報告します。
> 添付ファイル ：
>",アイテム購入時に問題が発生した
168,"お問い合わせ
アカウントID : 

プレイヤー名 : 
アプリバージョン : 
ご利用のOSバージョン : 
ご利用端末名 : iPhone13
お問い合わせ内容の種類 : 不具合について
ご利用環境 : iOS
問題が発生した日時 : 2024-02-27 12:40
メールアドレス : 
お問い合わせ内容 ：音が鳴らない
BGM
添付ファイル ：","いつもご利用いただきありがとうございます。
『ぽちゃガチョ！』サポート担当です。
 
お客様にご不便をおかけしており、誠に申し訳ございません。
ご連絡の件につきまして、今一度以下の操作をお試しいただけないでしょうか。
 
---------------------
?メイン画面で、画面右上の「歯車のアイコン」をタップし、BGMをONに設定してください。
?ご利用の端末のサウンドをONにしてください。
---------------------
 
なお、上記お試しいただいたうえで問題が解決しない場合には、
大変ご面倒をおかけいたしますが、再度お問い合わせいただけますと幸いです。
 
今後とも『ぽちゃガチョ！』をよろしくお願いいたします。
※本メール内容の無断掲載、無断複製、転送はお控えください。

> アカウントID : 

> プレイヤー名 : 
> アプリバージョン :
> ご利用のOSバージョン :
> ご利用端末名 : iPhone13
> お問い合わせ内容の種類 : 不具合について
> ご利用環境 : iOS
> 問題が発生した日時 : 2024-02-27 12:40
> メールアドレス : 
> お問い合わせ内容 ：音が鳴らない BGM
> 添付ファイル ：
> 
>",不具合について
603,"お問い合わせ
アカウントID : 

プレイヤー名 : 
アプリバージョン : 1.3
ご利用のOSバージョン : iOS 17.3.1
ご利用端末名 : iPhone13
お問い合わせ内容の種類 : アイテム購入時に問題が発生した
ご利用環境 : iOS
問題が発生した日時 : 2024-03-02 12:50
メールアドレス : 
お問い合わせ内容 ：エネルギーガチョウを購入したが反映されず、もう一度購入したが2度目も反映されなかった。2回購入したことになっているため対応お願いします。
添付ファイル ：","いつもご利用いただきありがとうございます。
『ぽちゃガチョ！』サポート担当です。

お客様にご迷惑をおかけし、誠に申し訳ございません。 

お問い合わせいただきました件につきましては、【3/2（土）11:00 ～ 14:00】頃にApp Storeの障害が原因で有償アイテム購入時にエラーメッセージが表示され、アイテムが購入できない、または購入したアイテムが反映されない不具合が発生しておりました。

現在、該当の現象は解消され、正常にご購入いただけます。

また、反映されていなかったアイテムについては、すでにお客様のアカウントに付与されておりますが、反映されていない場合は一度アプリを終了のうえ、再起動させることで反映されます。

重ねてのご案内となりますが、このたびはご迷惑をおかけして大変申し訳ございませんでした。

今後とも『ぽちゃガチョ！』をよろしくお願いいたします。 

※本メール内容の無断掲載、無断複製、転送はお控えください。",アイテム購入時に問題が発生した
